Accession,Host,Species,Genus,Length,Collection_Date,Bat_host
KJ425498.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27642,18/06/2013,N
KJ425499.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27642,18/11/2013,N
KJ425500.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27644,21/11/2013,N
KJ425501.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27642,26/11/2013,N
KJ425502.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27642,26/11/2013,N
KJ425503.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27609,08/09/2009,N
KJ435286.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27485,27/12/2011,N
KJ425504.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27485,05/12/2009,N
KJ425506.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27642,22/10/2011,N
KJ425507.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27642,16/12/2013,N
KJ425508.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27641,09/09/2009,N
KJ425509.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27642,23/10/2012,N
KJ425510.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27642,05/05/2011,N
KJ425511.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27642,29/05/2011,N
KJ425512.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27642,26/07/2011,N
KJ435283.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27666,19/12/2011,N
KJ435284.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27616,23/12/2011,N
KJ425505.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27642,10/03/2011,N
KJ425494.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27641,24/10/2012,N
JF732903.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27695,2009-04,N
JF828981.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27641,2010,N
JF330898.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27675,2010,N
JF330899.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27631,2009,N
GQ504720.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27652,1981,N
GQ504721.2,Gallus gallus,Avian coronavirus,Gammacoronavirus,27620,1981,N
GQ504722.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27648,1998,N
GQ504723.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27620,1998,N
GQ504724.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27475,1941,N
GQ504725.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27451,1941,N
HM245923.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27675,2007,N
HQ850618.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27597,25/08/2007,N
HM245924.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27709,2004,N
GQ427174.1,Meleagris gallopavo,Avian coronavirus,Gammacoronavirus,27650,2001,N
GQ427175.1,Meleagris gallopavo,Avian coronavirus,Gammacoronavirus,27690,1994,N
GQ427176.1,Meleagris gallopavo,Avian coronavirus,Gammacoronavirus,27804,1998,N
EU714028.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27640,1997,N
EU714029.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27660,2002-11,N
EU817497.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27646,,N
FJ888351.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27652,1960,N
EU095850.1,Meleagris gallopavo,Avian coronavirus,Gammacoronavirus,27657,,N
EU526388.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27715,,N
GQ427173.1,Meleagris gallopavo,Avian coronavirus,Gammacoronavirus,27770,2003,N
JF828980.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27485,2010,N
HQ848267.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27720,15/08/2005,N
FJ904722.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27614,1979,N
JF705860.1,Anatidae,Avian coronavirus,Gammacoronavirus,27673,2004-05,N
GU393331.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27663,1991,N
GU393332.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27591,1992,N
GU393333.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27616,1971,N
GU393334.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27622,1960,N
GU393335.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27632,1960,N
GU393336.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27247,1954,N
GU393337.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27663,1956,N
GU393338.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27515,1964,N
FJ904723.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27474,1985,N
JF274479.2,Gallus gallus,Avian coronavirus,Gammacoronavirus,27678,07/05/2007,N
FJ904713.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27660,2006,N
FJ904714.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27664,1995,N
FJ904715.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27615,2003,N
FJ904716.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27629,1966,N
FJ904717.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27632,1972,N
FJ904718.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27632,1983,N
FJ904719.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27632,1991,N
FJ904720.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27474,1965,N
FJ904721.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27474,1972,N
JF893452.2,Gallus gallus,Avian coronavirus,Gammacoronavirus,27681,2005,N
KJ425493.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27642,21/07/2012,N
KJ425492.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27642,03/04/2012,N
KJ425491.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27642,18/12/2011,N
KX219794.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27675,2010-11,N
KX219795.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27682,2015-03,N
KX219796.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27640,2011-12,N
KX219797.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27684,2002-01,N
KX219798.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27682,2012-09,N
KX219799.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27685,2013-02,N
KX219800.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27675,2013-06,N
KX219801.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27667,2012-04,N
KX348114.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27687,2005,N
KX219793.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27697,2011-11,N
KX348115.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27685,2012-09,N
KX348117.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27685,2012-07,N
KX266757.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27231,2008,N
KY047602.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27595,2016-02,N
KX077987.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27666,2015,N
MK217375.1,Gallus,Avian coronavirus,Gammacoronavirus,27660,2016,N
KU361187.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27670,2010,N
KU361188.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27691,2014,N
KU317090.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27669,2011,N
KU356856.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27647,2014-09,N
KX348116.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27688,2014-05,N
KT946798.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27690,01/01/2014,N
KX219792.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27674,2006-05,N
KX247130.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27685,2012-04,N
KX252777.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27685,2007,N
KX252778.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27677,2005,N
KX252779.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27684,2006,N
KX252780.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27674,2009,N
KX252781.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27681,2015-06,N
KX252782.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27654,2007,N
KX252783.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27680,2009,N
KX252784.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27675,2009,N
KX252785.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27686,2010,N
KX219791.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27648,2007-02,N
KX252786.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27682,2012-06,N
KX252788.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27682,2008,N
KX272465.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27646,01/12/2014,N
KX185056.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27676,2014,N
KX185057.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27802,2013,N
KX185058.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27678,2014,N
KX185059.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27681,,N
KX247127.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27684,2011,N
KX247128.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27682,2013-05,N
KX247129.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27684,2013-03,N
KX252787.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27674,2013-10,N
KT886454.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27418,2009,N
KT736031.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27641,2015-04,N
KT736032.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27615,2015-04,N
KP118886.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27686,2011,N
KP118887.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27621,2014,N
KP118888.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27617,2013,N
KP118889.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27682,2013,N
KP118890.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27682,2013,N
KP118891.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27618,2011,N
KP118892.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27594,2013,N
KP118893.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27618,2011,N
KP118894.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27685,2009,N
KP118885.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27618,2011,N
KP036502.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27611,2014,N
KP036504.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27617,2013,N
KP036505.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27676,2013,N
KM213963.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27714,2013,N
KJ425485.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27594,17/09/2011,N
KJ425486.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27644,23/05/2012,N
KJ425487.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27642,26/05/2011,N
KJ425488.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27642,25/08/2011,N
KJ425489.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27642,18/11/2011,N
KJ425490.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27641,21/12/2011,N
KP036503.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27613,2012,N
KP118884.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27617,2011,N
KP118883.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27615,2012,N
KP118882.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27618,2014,N
KR608272.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27681,,N
KT852992.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27699,2015,N
KR822424.1,Meleagris gallopavo,Avian coronavirus,Gammacoronavirus,27739,2008,N
KR231009.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27654,1984,N
KM586818.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27647,2008-08,N
KT203557.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27645,2012,N
KP868572.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27452,2011,N
KP868573.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27601,2013,N
KP780179.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27403,13/05/2013,N
KR902510.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27464,2003,N
KP790143.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27712,2014,N
KP790144.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27682,2014,N
KP790145.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27681,2014,N
KP790146.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27672,2014,N
KP343691.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27615,2013,N
KM454473.1,Anatidae,Avian coronavirus,Gammacoronavirus,27754,2014,N
KP662631.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27388,01/06/2011,N
KF460437.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27610,2011,N
KF931628.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27567,06/08/2012,N
KP118880.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27618,2013,N
KP118881.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27618,2014,N
KX252775.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27680,2013,N
MK217374.1,Gallus,Avian coronavirus,Gammacoronavirus,27695,2016,N
KY407558.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27680,2014,N
MK217372.1,Gallus,Avian coronavirus,Gammacoronavirus,27617,2017,N
MN509587.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27685,2009,N
MN509588.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27738,2017,N
MN509589.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27753,2011,N
MN517816.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27676,2009,N
MN517817.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27944,2011,N
MN531554.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27677,2012,N
MN531555.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27726,2011,N
MN531556.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27658,2011,N
MN794188.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27619,2019,N
MN307884.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27680,2017,N
MN128086.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27680,1995,N
MN128087.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27755,1998,N
MN128088.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27733,1995,N
MN262644.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27523,2018,N
MN711790.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27655,05/10/2004,N
MN566147.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27631,1994,N
MN197549.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27369,2016,N
MN512434.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27710,2017,N
MN512435.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27708,2017,N
MN512436.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27638,2017,N
MN512437.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27684,2017,N
MN512438.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27708,2017,N
MN096598.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27680,2016,N
MK581200.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27324,08/06/1989,N
MK581201.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27640,08/06/1989,N
MK581202.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27875,08/06/1989,N
MK581203.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27644,1997-07,N
MK581204.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27651,1997-09,N
MK581205.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27844,23/09/2004,N
MK581206.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27433,14/12/2012,N
MN599049.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27666,31/07/2015,N
MK581207.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27791,07/04/2016,N
MN548289.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27660,2011-01,N
MN548287.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27639,2011-01,N
NC_048213.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27464,2003,N
NC_048214.1,Anatidae,Avian coronavirus,Gammacoronavirus,27754,2014,N
NC_010800.1,Meleagris gallopavo,Avian coronavirus,Gammacoronavirus,27657,,N
MT701511.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27672,2017-09,N
MT563407.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27684,12/04/2019,N
MT367412.1,Meleagris gallopavo,Avian coronavirus,Gammacoronavirus,27614,21/06/2016,N
MT176421.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27698,25/07/2018,N
MT176422.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27698,26/07/2018,N
MW556742.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27687,2012-11,N
MW351623.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27692,2019,N
MW351624.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27692,2019,N
MW351625.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27692,2019,N
MW351626.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27692,2019,N
MW351628.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27692,2019,N
MN548288.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27693,2011-01,N
MW351629.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27692,2019,N
MT460496.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27642,,N
MW024789.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27486,06/01/2020,N
MK217373.1,Gallus,Avian coronavirus,Gammacoronavirus,27708,2017,N
MN199463.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27605,05/04/2017,N
MN199464.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27581,04/05/2017,N
MN199465.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27609,19/05/2017,N
MN199466.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27585,17/04/2018,N
MN987230.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27611,2016-04,N
MN987231.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27617,2012-11,N
MK953937.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27537,2014,N
MK957244.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27670,2000,N
MK957245.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27637,1988,N
MN548285.2,Gallus gallus,Avian coronavirus,Gammacoronavirus,27736,2011-01,N
MN548286.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27600,2011-01,N
MT591566.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27227,2016-02,N
MK581208.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27613,07/07/2017,N
MN199462.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27635,05/04/2017,N
MK309398.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27686,05/07/2017,N
MK329221.1,Gallus gallus,Avian coronavirus,Gammacoronavirus,27686,05/07/2017,N
NC_025217.1,Hipposideros pratti,Bat Hp-betacoronavirus Zhejiang2013,Betacoronavirus,31491,29/04/2013,Y
KF636752.1,Hipposideros pratti,Bat Hp-betacoronavirus Zhejiang2013,Betacoronavirus,31491,29/04/2013,Y
MT663548.1,Desmodus rotundus,Bat alphacoronavirus,Alphacoronavirus,29097,2015,Y
MN065811.1,Myotis brandtii,Bat alphacoronavirus,Alphacoronavirus,28119,15/08/2016,Y
KY770851.1,Myotis davidii,Bat coronavirus,,28096,2013,Y
KY770858.1,Rhinolophus sinicus,Bat coronavirus,,29688,2013,Y
MW703458.1,Rhinolophus blythi,Bat coronavirus,,29765,2018-08,Y
KY938558.1,Rhinolophus ferrumequinum,Bat coronavirus,,29075,17/04/2016,Y
MK492263.1,Cynopterus brachyotis,Bat coronavirus,,29585,2015,Y
KY770850.1,Myotis siligorensis,Bat coronavirus,,26883,2013,Y
MT726045.1,Rhinolophus,Bat coronavirus,,29246,27/09/2011,Y
MT726044.1,Rhinolophus,Bat coronavirus,,29243,30/05/2013,Y
MT726043.1,Rhinolophus,Bat coronavirus,,29243,30/05/2013,Y
KU182964.1,Rhinolophus ferrumequinum,Bat coronavirus,,28761,2013-08,Y
KY770859.1,Rhinolophus sinicus,Bat coronavirus,,29667,2013,Y
KY770860.1,Rhinolophus ferrumequinum,Bat coronavirus,,29651,2012,Y
NC_034440.1,Pipistrellus,Bat coronavirus,,29642,20/02/2013,Y
NC_048212.1,Eidolon helvum,Bat coronavirus,,28975,2013-12,Y
NC_014470.1,Rhinolophus blasii,Bat coronavirus BM48-31/BGR/2008,Betacoronavirus,29276,2008,Y
GU190215.1,Rhinolophus blasii,Bat coronavirus BM48-31/BGR/2008,Betacoronavirus,29276,2008,Y
KF430219.1,Myotis lucifugus,Bat coronavirus CDPHE15,Alphacoronavirus,28035,07/08/2006,Y
KY799179.1,Myotis lucifugus,Bat coronavirus CDPHE15,Alphacoronavirus,28173,2010-11,Y
NC_022103.1,Myotis lucifugus,Bat coronavirus CDPHE15,Alphacoronavirus,28035,07/08/2006,Y
JQ989271.1,Chiroptera,Bat coronavirus HKU10,Alphacoronavirus,28489,2005-10,Y
JQ989266.1,Chiroptera,Bat coronavirus HKU10,Alphacoronavirus,28483,2006-12,Y
JQ989267.1,Chiroptera,Bat coronavirus HKU10,Alphacoronavirus,28483,2006-12,Y
JQ989268.1,Chiroptera,Bat coronavirus HKU10,Alphacoronavirus,28483,2006-10,Y
JQ989269.1,Chiroptera,Bat coronavirus HKU10,Alphacoronavirus,28492,2005-12,Y
JQ989270.1,Chiroptera,Bat coronavirus HKU10,Alphacoronavirus,28494,2005-10,Y
JQ989273.1,Chiroptera,Bat coronavirus HKU10,Alphacoronavirus,28483,2010-08,Y
NC_018871.1,Chiroptera,Bat coronavirus HKU10,Alphacoronavirus,28494,2005-10,Y
JQ989272.1,Chiroptera,Bat coronavirus HKU10,Alphacoronavirus,28483,2010-08,Y
MW251308.1,Rhinolophus acuminatus,Bat coronavirus RacCS203,,29832,19/06/2020,Y
NC_010646.1,Delphinapterus leucas,Beluga whale coronavirus SW1,Gammacoronavirus,31686,,N
EU111742.1,Delphinapterus leucas,Beluga whale coronavirus SW1,Gammacoronavirus,31686,,N
KY419113.1,Sus scrofa scrofa,Betacoronavirus 1,Betacoronavirus,29900,25/07/2015,N
KY419106.1,Sus scrofa scrofa,Betacoronavirus 1,Betacoronavirus,29866,15/08/2015,N
KY419107.1,Sus scrofa scrofa,Betacoronavirus 1,Betacoronavirus,29866,25/07/2015,N
KY419109.1,Sus scrofa scrofa,Betacoronavirus 1,Betacoronavirus,29906,01/08/2015,N
KY419111.1,Sus scrofa scrofa,Betacoronavirus 1,Betacoronavirus,29866,08/08/2015,N
MN690609.1,Tursiops truncatus,Bottlenose dolphin coronavirus,Gammacoronavirus,31728,,N
MN690608.1,Tursiops truncatus,Bottlenose dolphin coronavirus,Gammacoronavirus,31728,,N
MN690610.1,Tursiops truncatus,Bottlenose dolphin coronavirus,Gammacoronavirus,31728,,N
MN690611.1,Tursiops truncatus,Bottlenose dolphin coronavirus,Gammacoronavirus,31728,,N
KJ473808.1,Rhinolophus ferrumequinum,BtRf-AlphaCoV/YN2012,Alphacoronavirus,26975,2012,Y
NC_028824.1,Rhinolophus ferrumequinum,BtRf-AlphaCoV/YN2012,Alphacoronavirus,26975,2012,Y
FJ376619.2,Pycnonotus jocosus,Bulbul coronavirus HKU11,Deltacoronavirus,26487,2007-01,N
FJ376620.1,Pycnonotus sinensis,Bulbul coronavirus HKU11,Deltacoronavirus,26476,2007-01,N
NC_011547.1,Pycnonotus jocosus,Bulbul coronavirus HKU11,Deltacoronavirus,26487,2007-01,N
NC_046965.1,Branta canadensis,Canada goose coronavirus,Gammacoronavirus,28539,2017-08,N
MK359255.1,Branta canadensis,Canada goose coronavirus,Gammacoronavirus,28539,2017-08,N
NC_026011.1,Rattus norvegicus,China Rattus coronavirus HKU24,Betacoronavirus,31249,17/05/2012,N
JQ065049.1,Gallinula chloropus,Common moorhen coronavirus HKU21,Deltacoronavirus,26223,2007,N
NC_016996.1,Gallinula chloropus,Common moorhen coronavirus HKU21,Deltacoronavirus,26223,2007,N
KX964649.1,Apodemus chevrieri,Coronavirus AcCoV-JC34,Alphacoronavirus,27682,2011-10,N
NC_034972.1,Apodemus chevrieri,Coronavirus AcCoV-JC34,Alphacoronavirus,27682,2011-10,N
MK211374.1,Rhinolophus,Coronavirus BtRl-BetaCoV/SC2018,Betacoronavirus,29648,2016-08,N
MK211373.1,Cynopterus sphinx,Coronavirus BtRs-AlphaCoV/YN2018,Alphacoronavirus,29109,2017-05,Y
MK211375.1,Rhinolophus affinis,Coronavirus BtRs-BetaCoV/YN2018A,Betacoronavirus,29698,2016-09,Y
MK211376.1,Rhinolophus affinis,Coronavirus BtRs-BetaCoV/YN2018B,Betacoronavirus,30256,2016-09,Y
MK211377.1,Rhinolophus affinis,Coronavirus BtRs-BetaCoV/YN2018C,Betacoronavirus,29689,2016-09,Y
MK211378.1,Rhinolophus affinis,Coronavirus BtRs-BetaCoV/YN2018D,Betacoronavirus,30213,2016-09,Y
MK211379.1,Rhinolophus affinis,Coronavirus BtRt-BetaCoV/GX2018,Betacoronavirus,29752,2016-09,Y
MK211369.1,Scotophilus kuhlii,Coronavirus BtSk-AlphaCoV/GX2018A,Alphacoronavirus,28303,2017-05,Y
MK211370.1,Scotophilus kuhlii,Coronavirus BtSk-AlphaCoV/GX2018B,Alphacoronavirus,28175,2017-05,Y
MK211371.1,Scotophilus kuhlii,Coronavirus BtSk-AlphaCoV/GX2018C,Alphacoronavirus,28146,2017-05,Y
MK211372.1,Scotophilus kuhlii,Coronavirus BtSk-AlphaCoV/GX2018D,Alphacoronavirus,28238,2017-05,Y
LC216915.1,Sus scrofa domesticus,Coronavirus HKU15,Deltacoronavirus,25406,13/02/2014,N
KY363868.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25403,05/01/2016,N
KR265857.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25394,23/02/2014,N
KY364365.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25422,2014-07,N
MN249445.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25424,11/12/2017,N
MF948005.1,Sus scrofa,Coronavirus HKU15,Deltacoronavirus,25423,10/08/2017,N
